incident_id,opened_at,cell_id,issue_type,complaint_summary,root_cause,resolution,status,severity
INC-2026-045,2026-01-14T09:00:00,XYZ402,throughput,DL speed below SLA on XYZ402,High DL BLER and rank-1 stuck — interferer on n77,Rebalanced UPF sessions and scaled pod count,Closed,High
INC-2026-046,2026-01-14T15:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Re-ran beam calibration procedure,Closed,High
INC-2026-047,2026-01-14T20:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-048,2026-01-15T04:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Added neighbor relation and tuned HO margins,Open,Medium
INC-2026-049,2026-01-15T09:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Re-ran beam calibration procedure,Closed,High
INC-2026-050,2026-01-15T19:00:00,XYZ404,handover,HO prep/exec failure spike neighbor sector XYZ404,Target cell barred due to transport alarm on F1,Restored F1 link and cleared cell barring,Closed,High
INC-2026-051,2026-01-15T23:00:00,XYZ401,transport,N3 throughput cap during evening peak XYZ401,Backhaul link at high utilization on core switch,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-052,2026-01-16T10:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Updated UDM subscription template,In Progress,High
INC-2026-053,2026-01-16T17:00:00,XYZ401,rach,Registration failures at cell edge XYZ401,PRACH occasion collision with co-channel DAS,Updated UDM subscription template,Closed,High
INC-2026-054,2026-01-16T23:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Restored F1 link and cleared cell barring,In Progress,High
INC-2026-055,2026-01-17T02:00:00,XYZ402,core,PDU session release without RF anomaly XYZ402,AMF subscription profile missing DNN,Reduced A3 offset and enabled time-to-trigger tuning,Closed,High
INC-2026-056,2026-01-17T13:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Adjusted PRACH configuration index and root sequence,In Progress,High
INC-2026-057,2026-01-17T16:00:00,XYZ401,handover,HO prep/exec failure spike neighbor sector XYZ401,Target cell barred due to transport alarm on F1,Restored F1 link and cleared cell barring,Open,High
INC-2026-058,2026-01-18T04:00:00,XYZ406,core,PDU session release without RF anomaly XYZ406,AMF subscription profile missing DNN,Reduced A3 offset and enabled time-to-trigger tuning,In Progress,Medium
INC-2026-059,2026-01-18T08:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Re-ran beam calibration procedure,Closed,High
INC-2026-060,2026-01-18T14:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Reduced A3 offset and enabled time-to-trigger tuning,Open,Critical
INC-2026-061,2026-01-18T23:00:00,XYZ405,handover,HO prep/exec failure spike neighbor sector XYZ405,Target cell barred due to transport alarm on F1,Restored F1 link and cleared cell barring,Closed,Medium
INC-2026-062,2026-01-19T04:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Rebalanced UPF sessions and scaled pod count,Closed,High
INC-2026-063,2026-01-19T13:00:00,XYZ404,rlf,RLF cluster after successful HO on XYZ404,Too-late HO — A3 offset insufficient for fast UE,Re-ran beam calibration procedure,Closed,High
INC-2026-064,2026-01-19T21:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Restored F1 link and cleared cell barring,Open,High
INC-2026-065,2026-01-20T05:00:00,XYZ403,latency,Video buffering on 5QI-9 during peak XYZ403,UPF cluster CPU saturation,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-066,2026-01-20T10:00:00,XYZ402,rlf,RLF cluster after successful HO on XYZ402,Too-late HO — A3 offset insufficient for fast UE,Rebalanced UPF sessions and scaled pod count,Closed,High
INC-2026-067,2026-01-20T18:00:00,XYZ403,rach,Registration failures at cell edge XYZ403,PRACH occasion collision with co-channel DAS,Re-ran beam calibration procedure,Closed,High
INC-2026-068,2026-01-20T22:00:00,XYZ405,throughput,DL speed below SLA on XYZ405,High DL BLER and rank-1 stuck — interferer on n77,Retuned electrical tilt and enabled IRC,Closed,Medium
INC-2026-069,2026-01-21T09:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Added neighbor relation and tuned HO margins,Closed,Medium
INC-2026-070,2026-01-21T13:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Reduced A3 offset and enabled time-to-trigger tuning,In Progress,High
INC-2026-071,2026-01-21T19:00:00,XYZ410,rach,Registration failures at cell edge XYZ410,PRACH occasion collision with co-channel DAS,Rebalanced UPF sessions and scaled pod count,In Progress,Low
INC-2026-072,2026-01-22T01:00:00,XYZ408,transport,N3 throughput cap during evening peak XYZ408,Backhaul link at high utilization on core switch,Restored F1 link and cleared cell barring,Closed,Medium
INC-2026-073,2026-01-22T09:00:00,XYZ402,throughput,DL speed below SLA on XYZ402,High DL BLER and rank-1 stuck — interferer on n77,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-074,2026-01-22T16:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Retuned electrical tilt and enabled IRC,Closed,Critical
INC-2026-075,2026-01-23T01:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-076,2026-01-23T05:00:00,XYZ409,rlf,RLF cluster after successful HO on XYZ409,Too-late HO — A3 offset insufficient for fast UE,Updated UDM subscription template,Closed,Low
INC-2026-077,2026-01-23T17:00:00,XYZ405,throughput,DL speed below SLA on XYZ405,High DL BLER and rank-1 stuck — interferer on n77,Updated UDM subscription template,In Progress,Medium
INC-2026-078,2026-01-24T00:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Retuned electrical tilt and enabled IRC,In Progress,High
INC-2026-079,2026-01-24T04:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Re-ran beam calibration procedure,Closed,Critical
INC-2026-080,2026-01-24T12:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Enabled QoS shaping and scheduled backhaul upgrade,Closed,Medium
INC-2026-081,2026-01-24T18:00:00,XYZ403,core,PDU session release without RF anomaly XYZ403,AMF subscription profile missing DNN,Restored F1 link and cleared cell barring,Closed,High
INC-2026-082,2026-01-25T04:00:00,XYZ405,rach,Registration failures at cell edge XYZ405,PRACH occasion collision with co-channel DAS,Reduced A3 offset and enabled time-to-trigger tuning,Open,Medium
INC-2026-083,2026-01-25T10:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-084,2026-01-25T18:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Reduced A3 offset and enabled time-to-trigger tuning,Closed,High
INC-2026-085,2026-01-25T23:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Reduced A3 offset and enabled time-to-trigger tuning,Closed,High
INC-2026-086,2026-01-26T06:00:00,XYZ404,core,PDU session release without RF anomaly XYZ404,AMF subscription profile missing DNN,Restored F1 link and cleared cell barring,Open,Critical
INC-2026-087,2026-01-26T10:00:00,XYZ404,core,PDU session release without RF anomaly XYZ404,AMF subscription profile missing DNN,Updated UDM subscription template,Closed,High
INC-2026-088,2026-01-26T21:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Restored F1 link and cleared cell barring,Open,Critical
INC-2026-089,2026-01-27T02:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Rebalanced UPF sessions and scaled pod count,Closed,High
INC-2026-090,2026-01-27T11:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Reduced A3 offset and enabled time-to-trigger tuning,Closed,Medium
INC-2026-091,2026-01-27T19:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Restored F1 link and cleared cell barring,In Progress,Critical
INC-2026-092,2026-01-28T02:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Re-ran beam calibration procedure,In Progress,High
INC-2026-093,2026-01-28T07:00:00,XYZ408,core,PDU session release without RF anomaly XYZ408,AMF subscription profile missing DNN,Reduced A3 offset and enabled time-to-trigger tuning,Closed,Medium
INC-2026-094,2026-01-28T14:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Enabled QoS shaping and scheduled backhaul upgrade,Closed,Critical
INC-2026-095,2026-01-28T23:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-096,2026-01-29T05:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Updated UDM subscription template,In Progress,Critical
INC-2026-097,2026-01-29T11:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-098,2026-01-29T18:00:00,XYZ407,rlf,RLF cluster after successful HO on XYZ407,Too-late HO — A3 offset insufficient for fast UE,Updated UDM subscription template,Open,Medium
INC-2026-099,2026-01-29T22:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Adjusted PRACH configuration index and root sequence,Closed,Critical
INC-2026-100,2026-01-30T08:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Updated UDM subscription template,Closed,High
INC-2026-101,2026-01-30T15:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-102,2026-01-30T23:00:00,XYZ401,beamforming,Beam failure ratio above threshold XYZ401,SSB beam weight drift after AAU firmware upgrade,Restored F1 link and cleared cell barring,In Progress,High
INC-2026-103,2026-01-31T06:00:00,XYZ403,beamforming,Beam failure ratio above threshold XYZ403,SSB beam weight drift after AAU firmware upgrade,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-104,2026-01-31T13:00:00,XYZ401,transport,N3 throughput cap during evening peak XYZ401,Backhaul link at high utilization on core switch,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-105,2026-01-31T16:00:00,XYZ404,latency,Video buffering on 5QI-9 during peak XYZ404,UPF cluster CPU saturation,Rebalanced UPF sessions and scaled pod count,Open,Critical
INC-2026-106,2026-01-31T23:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Added neighbor relation and tuned HO margins,Closed,Medium
INC-2026-107,2026-02-01T09:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Restored F1 link and cleared cell barring,Closed,Medium
INC-2026-108,2026-02-01T18:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Rebalanced UPF sessions and scaled pod count,Closed,High
INC-2026-109,2026-02-01T20:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Updated UDM subscription template,Closed,High
INC-2026-110,2026-02-02T06:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Re-ran beam calibration procedure,Closed,High
INC-2026-111,2026-02-02T11:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-112,2026-02-02T18:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Restored F1 link and cleared cell barring,Closed,Critical
INC-2026-113,2026-02-03T05:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Rebalanced UPF sessions and scaled pod count,In Progress,High
INC-2026-114,2026-02-03T09:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Rebalanced UPF sessions and scaled pod count,Open,High
INC-2026-115,2026-02-03T19:00:00,XYZ403,throughput,DL speed below SLA on XYZ403,High DL BLER and rank-1 stuck — interferer on n77,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-116,2026-02-04T02:00:00,XYZ405,core,PDU session release without RF anomaly XYZ405,AMF subscription profile missing DNN,Rebalanced UPF sessions and scaled pod count,Open,Medium
INC-2026-117,2026-02-04T04:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-118,2026-02-04T14:00:00,XYZ407,mobility,Network issue on XYZ407,Under investigation,Re-ran beam calibration procedure,Closed,Medium
INC-2026-119,2026-02-04T22:00:00,XYZ404,latency,Video buffering on 5QI-9 during peak XYZ404,UPF cluster CPU saturation,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-120,2026-02-05T06:00:00,XYZ402,core,PDU session release without RF anomaly XYZ402,AMF subscription profile missing DNN,Enabled QoS shaping and scheduled backhaul upgrade,Open,High
INC-2026-121,2026-02-05T13:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Updated UDM subscription template,Closed,High
INC-2026-122,2026-02-05T17:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Re-ran beam calibration procedure,In Progress,Critical
INC-2026-123,2026-02-06T01:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Re-ran beam calibration procedure,Closed,High
INC-2026-124,2026-02-06T10:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-125,2026-02-06T12:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-126,2026-02-06T19:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-127,2026-02-07T05:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Enabled QoS shaping and scheduled backhaul upgrade,In Progress,Critical
INC-2026-128,2026-02-07T11:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-129,2026-02-07T20:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-130,2026-02-08T03:00:00,XYZ410,handover,HO prep/exec failure spike neighbor sector XYZ410,Target cell barred due to transport alarm on F1,Updated UDM subscription template,Closed,Low
INC-2026-131,2026-02-08T06:00:00,XYZ409,latency,Video buffering on 5QI-9 during peak XYZ409,UPF cluster CPU saturation,Updated UDM subscription template,Closed,Low
INC-2026-132,2026-02-08T16:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Updated UDM subscription template,In Progress,Medium
INC-2026-133,2026-02-08T23:00:00,XYZ404,latency,Video buffering on 5QI-9 during peak XYZ404,UPF cluster CPU saturation,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-134,2026-02-09T03:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Rebalanced UPF sessions and scaled pod count,Closed,High
INC-2026-135,2026-02-09T15:00:00,XYZ403,rlf,RLF cluster after successful HO on XYZ403,Too-late HO — A3 offset insufficient for fast UE,Retuned electrical tilt and enabled IRC,Open,High
INC-2026-136,2026-02-09T19:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Restored F1 link and cleared cell barring,Closed,Critical
INC-2026-137,2026-02-10T01:00:00,XYZ404,rach,Registration failures at cell edge XYZ404,PRACH occasion collision with co-channel DAS,Restored F1 link and cleared cell barring,Closed,High
INC-2026-138,2026-02-10T09:00:00,XYZ404,throughput,DL speed below SLA on XYZ404,High DL BLER and rank-1 stuck — interferer on n77,Updated UDM subscription template,Closed,High
INC-2026-139,2026-02-10T18:00:00,XYZ401,handover,HO prep/exec failure spike neighbor sector XYZ401,Target cell barred due to transport alarm on F1,Rebalanced UPF sessions and scaled pod count,Closed,Critical
INC-2026-140,2026-02-11T00:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Re-ran beam calibration procedure,Closed,High
INC-2026-141,2026-02-11T09:00:00,XYZ405,latency,Video buffering on 5QI-9 during peak XYZ405,UPF cluster CPU saturation,Reduced A3 offset and enabled time-to-trigger tuning,Closed,Medium
INC-2026-142,2026-02-11T16:00:00,XYZ408,core,PDU session release without RF anomaly XYZ408,AMF subscription profile missing DNN,Adjusted PRACH configuration index and root sequence,Closed,Medium
INC-2026-143,2026-02-11T18:00:00,XYZ408,rlf,RLF cluster after successful HO on XYZ408,Too-late HO — A3 offset insufficient for fast UE,Added neighbor relation and tuned HO margins,Closed,Medium
INC-2026-144,2026-02-12T04:00:00,XYZ403,latency,Video buffering on 5QI-9 during peak XYZ403,UPF cluster CPU saturation,Enabled QoS shaping and scheduled backhaul upgrade,Closed,High
INC-2026-145,2026-02-12T08:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Adjusted PRACH configuration index and root sequence,In Progress,Medium
INC-2026-146,2026-02-12T16:00:00,XYZ403,rach,Registration failures at cell edge XYZ403,PRACH occasion collision with co-channel DAS,Added neighbor relation and tuned HO margins,Closed,High
INC-2026-147,2026-02-13T00:00:00,XYZ404,handover,HO prep/exec failure spike neighbor sector XYZ404,Target cell barred due to transport alarm on F1,Retuned electrical tilt and enabled IRC,Closed,High
INC-2026-148,2026-02-13T08:00:00,XYZ402,rach,Registration failures at cell edge XYZ402,PRACH occasion collision with co-channel DAS,Adjusted PRACH configuration index and root sequence,In Progress,High
INC-2026-149,2026-02-13T15:00:00,XYZ407,handover,HO prep/exec failure spike neighbor sector XYZ407,Target cell barred due to transport alarm on F1,Rebalanced UPF sessions and scaled pod count,Closed,Medium
INC-2026-150,2026-02-13T22:00:00,XYZ401,call_drop,Voice drops during mobility on XYZ401,Missed Xn neighbor relation for inter-gNB HO,Adjusted PRACH configuration index and root sequence,Closed,High
INC-2026-151,2026-02-14T02:00:00,XYZ408,core,PDU session release without RF anomaly XYZ408,AMF subscription profile missing DNN,Re-ran beam calibration procedure,Closed,Medium
INC-2026-152,2026-02-14T11:00:00,XYZ406,handover,HO prep/exec failure spike neighbor sector XYZ406,Target cell barred due to transport alarm on F1,Re-ran beam calibration procedure,Closed,Medium
